Event Name,Time,Distinct ID,City,Country,Operating System
restore_completed,1771065886.678,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065886.544,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_step_view,1771064719.235,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064719.235,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064719.234,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064717.69,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064715.332,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064715.318,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064706.656,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064706.604,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064701.893,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064701.893,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064701.893,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064701.837,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064701.836,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064693.18,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064693.179,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064693.179,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064693.178,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064693.143,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
permission_prompt,1771064693.142,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
permission_prompt,1771064688.595,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064677.416,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064677.415,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
